class,recall,support
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.525641,78
Potato___healthy,0.625000,24
Tomato___Early_blight,0.693333,150
Apple___Apple_scab,0.789474,95
Pepper,_bell___Bacterial_spot,0.801325,151
Tomato___Septoria_leaf_spot,0.801498,267
Apple___Black_rot,0.808511,94
Apple___Cedar_apple_rust,0.809524,42
Potato___Late_blight,0.813333,150
Tomato___Target_Spot,0.816038,212
Tomato___Late_blight,0.860627,287
Corn___Northern_Leaf_Blight,0.872483,149
Peach___healthy,0.872727,55
Grape___Esca_(Black_Measles),0.879808,208
Raspberry___healthy,0.894737,57
Tomato___Tomato_mosaic_virus,0.894737,57
Tomato___Leaf_Mold,0.902778,144
Strawberry___Leaf_scorch,0.904192,167
Grape___healthy,0.906250,64
Tomato___Spider_mites Two-spotted_spider_mite,0.908730,252
Apple___healthy,0.911290,248
Grape___Black_rot,0.915254,177
Cherry___Powdery_mildew,0.937107,159
Peach___Bacterial_spot,0.939306,346
Pepper,_bell___healthy,0.941704,223
Strawberry___healthy,0.942029,69
Cherry___healthy,0.945736,129
Potato___Early_blight,0.953333,150
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.956790,162
Squash___Powdery_mildew,0.963768,276
Tomato___Bacterial_spot,0.968750,320
Soybean___healthy,0.971204,764
Corn___Common_rust,0.972222,180
Blueberry___healthy,0.977876,226
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.978882,805
Tomato___healthy,0.983333,240
Corn___healthy,0.994286,175
Orange___Haunglongbing_(Citrus_greening),1.000000,827
