class,recall,support
Potato___healthy,0.625000,24
Tomato___Early_blight,0.713333,150
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.730769,78
Apple___Cedar_apple_rust,0.809524,42
Apple___Apple_scab,0.810526,95
Corn___Northern_Leaf_Blight,0.825503,149
Pepper,_bell___Bacterial_spot,0.841060,151
Tomato___Late_blight,0.850174,287
Tomato___Septoria_leaf_spot,0.850187,267
Tomato___Target_Spot,0.872642,212
Potato___Late_blight,0.880000,150
Apple___Black_rot,0.882979,94
Peach___healthy,0.890909,55
Tomato___Tomato_mosaic_virus,0.894737,57
Tomato___Spider_mites Two-spotted_spider_mite,0.912698,252
Tomato___Leaf_Mold,0.923611,144
Apple___healthy,0.927419,248
Strawberry___Leaf_scorch,0.934132,167
Grape___healthy,0.937500,64
Grape___Esca_(Black_Measles),0.947115,208
Grape___Black_rot,0.949153,177
Cherry___healthy,0.953488,129
Potato___Early_blight,0.960000,150
Peach___Bacterial_spot,0.962428,346
Raspberry___healthy,0.964912,57
Pepper,_bell___healthy,0.968610,223
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.969136,162
Strawberry___healthy,0.971014,69
Squash___Powdery_mildew,0.978261,276
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.980124,805
Soybean___healthy,0.980366,764
Cherry___Powdery_mildew,0.981132,159
Tomato___Bacterial_spot,0.981250,320
Blueberry___healthy,0.982301,226
Corn___Common_rust,0.983333,180
Tomato___healthy,0.987500,240
Corn___healthy,0.994286,175
Orange___Haunglongbing_(Citrus_greening),1.000000,827
